Empresa;Estado;Produto;Tipo do Produto;Certificação;Tipo Símbolo
AMERICA IND. E COM. DE ALIMS. LTDA.;MG;NORTE DE MINAS SUPERIOR;TM;Pureza, Qualidade;Superior
AMERICA IND. E COM. DE ALIMS. LTDA.;MG;NORTE DE MINAS TRADICIONAL;TM;Pureza, Qualidade;Tradicional
AMERICA IND. E COM. DE ALIMS. LTDA.;MG;TANIA;TM;Pureza, Qualidade;Tradicional
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO CARAMELLATO;GR;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO DESCAFEINADO;GR;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO DESCAFEINADO;TM;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO ESPRESSO;GR;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO EXTRAFORTE;TM;Pureza, Qualidade;Extraforte
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO FRUTTATO;GR;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO ORGANICO;GR;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO ORGANICO;TM;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO PREMIUM;TM;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TIPO ESPECIAL CARAMELLATO;TM;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TIPO ESPECIAL FRUTTATO;TM;Pureza, Qualidade;Gourmet
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TORRADO EM GRAOS;GR;Pureza, Qualidade;Superior
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TRADICIONAL;GR;Pureza, Qualidade;Tradicional
ANJU IND. E COM. DE CAFE LTDA.;SC;OURO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
ANJU IND. E COM. DE CAFE LTDA.;SC;RIOSUL;TM;Pureza, Qualidade;Extraforte
ANTONIO SOUTO CASTRO  CIA. LTDA.;BA;VERDES MARES;TM;Pureza, Qualidade;Tradicional
AROMA DOURADO TORREF. E MOAG. DE CAFE  LTDA;SP;PEPIRA DOURADO;TM;Pureza, Qualidade;Superior
ATLAS COM. E IND. LTDA.;GO;BAMBINO;TM;Pureza, Qualidade;Tradicional
ATLAS COM. E IND. LTDA.;GO;CALOURO;TM;Pureza, Qualidade;Tradicional
ATLAS COM. E IND. LTDA.;GO;PELICANO;TM;Pureza, Qualidade;Tradicional
AUMA CAFE LTDA;MG;TERRAGUSTI  EXRA FORTE;TM;Pureza, Qualidade;Extraforte
AUMA CAFE LTDA;MG;TERRAGUSTI 100% ARABICA;TM;Pureza, Qualidade;Extraforte
AUMA CAFE LTDA;MG;TERRAGUSTI GOURMET;TM;Pureza, Qualidade;Gourmet
AUMA CAFE LTDA;MG;TERRAGUSTI GOURMET;GR;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;FORNO GRANDE;TM;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO AUDAZ;GR;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO AUDAZ;TM;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO BEBIDA FINA;TM;Pureza, Qualidade;Superior
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO DRIP COFFEE;TM;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO HARMONIA;CAP;Pureza, Qualidade;Intensidade 8
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO INTREPIDO;CAP;Pureza, Qualidade;Intensidade 10
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO PLENO;TM;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO PLENO;GR;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO TENAZ;CAP;Pureza, Qualidade;Intensidade 6
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO TORRA CLARA;GR;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO TORRA CLARA;TM;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO TORRA ESCURA;GR;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO TORRA ESCURA;TM;Pureza, Qualidade;Superior
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO TORRA MEDIA;GR;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;MONTE CASTELO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;PEDRA AZUL 100% ARABICA;TM;Pureza, Qualidade;Gourmet
AUREA IMP. E EXP. E TORREF. DE CAFE LTDA;ES;PEDRA AZUL GOURMET;GR;Pureza, Qualidade;Gourmet
BAGGIO COFFEES ESP. LTDA;SP;BAGGIO ESPRESSO BOURBON GRAO GOURMET;GR;Pureza, Qualidade;Gourmet
BAGGIO COFFEES ESP. LTDA;SP;BAGGIO ESPRESSO GOURMET GRAO;GR;Pureza, Qualidade;Gourmet
BAGGIO COFFEES ESP. LTDA;SP;BAGGIO GOURMET ESPRESSO;TM;Pureza, Qualidade;Gourmet
BEBIANO E MARTINS - IND. E COM. DE CAFE LTDA.;MG;SABOR E AROMA EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
BEBIANO E MARTINS - IND. E COM. DE CAFE LTDA.;MG;SABOR E AROMA TRADICIONAL;TM;Pureza, Qualidade;Tradicional
BEBIANO E MARTINS - IND. E COM. DE CAFE LTDA.;MG;SETE LAGOAS;TM;Pureza, Qualidade;Extraforte
BEBIANO E MARTINS - IND. E COM. DE CAFE LTDA.;MG;SETE LAGOAS ARTESANAL;TM;Pureza, Qualidade;Tradicional
BISCAFE IND. E COM. DE ALIM. LTDA;BA;VERDE AMARELO;TM;Pureza, Qualidade;Extraforte
BOA VISTA IND. DE TORREF. LTDA.;MG;SABOR DAS MATAS TRADICIONAL;TM;Pureza, Qualidade;Tradicional
BONCAFE LTDA.;SP;FARACO;TM;Pureza, Qualidade;Tradicional
BONCAFE LTDA.;SP;FAZENDINHA EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;CLASSIC EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;CLASSIC TRADICIONAL;TM;Pureza, Qualidade;Tradicional
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;CONFIARE NOSSAS ORIGENS CERRADO MINEIRO;TM;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;CONFIARE NOSSAS ORIGENS CHAPADA DIAMANTINA;TM;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;CONFIARE NOSSAS ORIGENS MOGIANA;TM;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DAKI EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DAKI TRADICIONAL;TM;Pureza, Qualidade;Tradicional
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DO CENTRO  ESPECIAL CASA DO PAO DE QUEIJO;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DO CENTRO BARISTA GOURMET;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DO CENTRO BARISTA PRIME;GR;Pureza, Qualidade;Superior
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DO CENTRO CERRADO MINEIRO;TM;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DO CENTRO GRAO;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DO CENTRO LINHA PROFISSIONAL;GR;Pureza, Qualidade;Superior
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DO CENTRO SUL DE MINAS;TM;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DO CENTRO TRADICIONAL;TM;Pureza, Qualidade;Tradicional
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;DONUTS;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;ESPECIAL CERRADO MINEIRO EM GRAOS;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;ESPECIAL MOGIANA;TM;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;ESPECIAL MOGIANA EM GRAOS;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;ESPECIAL SUL DE MINAS EM GRAOS;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;EXPERT BLENDERS;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;FELITA CHEF EXTRA FORTE;TM;Pureza, Qualidade;Extraforte
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;FELITA CHEF TRADICIONAL;TM;Pureza, Qualidade;Tradicional
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;PREZUNIC INTENSIDADE 06;CAP;Pureza, Qualidade;Intensidade 6
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;PREZUNIC INTENSIDADE 08;CAP;Pureza, Qualidade;Intensidade 8
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;PREZUNIC INTENSIDADE 09;CAP;Pureza, Qualidade;Intensidade 9
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;PREZUNIC INTENSIDADE 10;CAP;Pureza, Qualidade;Intensidade 10
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;PREZUNIC INTENSIDADE 6 - DESCAFEINADO;CAP;Pureza, Qualidade;Intensidade 6
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;REI DO MATE;GR;Pureza, Qualidade;Gourmet
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;SPRESS;GR;Pureza, Qualidade;Superior
BRASIL ESPRESSO COM. ATACADISTA LTDA;SP;SPRESS;TM;Pureza, Qualidade;Tradicional
